#Distance(A)    Macroscopic-Average    Planar-Average
  0.0000            -0.00001            -0.00001
  0.0626            -0.00001            -0.00001
  0.1252            -0.00001            -0.00001
  0.1878            -0.00001            -0.00001
  0.2504            -0.00001            -0.00001
  0.3130            -0.00001            -0.00001
  0.3756            -0.00001            -0.00001
  0.4382            -0.00001            -0.00001
  0.5009            -0.00001            -0.00001
  0.5635            -0.00001            -0.00001
  0.6261            -0.00001            -0.00001
  0.6887            -0.00001            -0.00001
  0.7513            -0.00001            -0.00001
  0.8139            -0.00001            -0.00001
  0.8765            -0.00001            -0.00001
  0.9391            -0.00001            -0.00001
  1.0017            -0.00000            -0.00001
  1.0643            -0.00000            -0.00001
  1.1269            -0.00000            -0.00001
  1.1895            -0.00000            -0.00001
  1.2521            -0.00000            -0.00001
  1.3147            -0.00000            -0.00001
  1.3773            -0.00000            -0.00000
  1.4399            -0.00000            -0.00000
  1.5026            -0.00000            -0.00000
  1.5652            -0.00000            -0.00000
  1.6278            -0.00000            -0.00000
  1.6904            -0.00000            -0.00000
  1.7530            -0.00000            -0.00000
  1.8156            -0.00000             0.00000
  1.8782            -0.00000             0.00000
  1.9408             0.00000             0.00000
  2.0034             0.00000             0.00000
  2.0660             0.00000             0.00000
  2.1286             0.00000             0.00000
  2.1912             0.00000             0.00000
  2.2538            -0.00000             0.00001
  2.3164            -0.00000             0.00001
  2.3790            -0.00000             0.00001
  2.4416            -0.00000             0.00001
  2.5043            -0.00000             0.00001
  2.5669            -0.00000             0.00001
  2.6295            -0.00001             0.00001
  2.6921            -0.00001             0.00001
  2.7547            -0.00001             0.00001
  2.8173            -0.00001             0.00001
  2.8799            -0.00001             0.00001
  2.9425            -0.00002             0.00001
  3.0051            -0.00002             0.00001
  3.0677            -0.00003             0.00001
  3.1303            -0.00003             0.00001
  3.1929            -0.00004             0.00001
  3.2555            -0.00005             0.00001
  3.3181            -0.00006             0.00001
  3.3807            -0.00007             0.00001
  3.4433            -0.00008             0.00001
  3.5060            -0.00010             0.00001
  3.5686            -0.00011             0.00001
  3.6312            -0.00013             0.00001
  3.6938            -0.00016             0.00001
  3.7564            -0.00018             0.00001
  3.8190            -0.00021             0.00000
  3.8816            -0.00024             0.00000
  3.9442            -0.00028            -0.00000
  4.0068            -0.00033            -0.00001
  4.0694            -0.00037            -0.00001
  4.1320            -0.00043            -0.00002
  4.1946            -0.00049            -0.00002
  4.2572            -0.00056            -0.00003
  4.3198            -0.00064            -0.00004
  4.3824            -0.00073            -0.00005
  4.4451            -0.00083            -0.00006
  4.5077            -0.00095            -0.00007
  4.5703            -0.00107            -0.00009
  4.6329            -0.00121            -0.00010
  4.6955            -0.00136            -0.00013
  4.7581            -0.00153            -0.00015
  4.8207            -0.00172            -0.00018
  4.8833            -0.00192            -0.00021
  4.9459            -0.00214            -0.00025
  5.0085            -0.00238            -0.00029
  5.0711            -0.00264            -0.00034
  5.1337            -0.00291            -0.00039
  5.1963            -0.00320            -0.00046
  5.2589            -0.00351            -0.00054
  5.3215            -0.00383            -0.00062
  5.3841            -0.00417            -0.00072
  5.4468            -0.00451            -0.00083
  5.5094            -0.00486            -0.00096
  5.5720            -0.00520            -0.00110
  5.6346            -0.00554            -0.00126
  5.6972            -0.00586            -0.00145
  5.7598            -0.00615            -0.00166
  5.8224            -0.00641            -0.00190
  5.8850            -0.00662            -0.00217
  5.9476            -0.00678            -0.00248
  6.0102            -0.00688            -0.00281
  6.0728            -0.00694            -0.00319
  6.1354            -0.00697            -0.00362
  6.1980            -0.00700            -0.00409
  6.2606            -0.00704            -0.00461
  6.3232            -0.00711            -0.00519
  6.3858            -0.00721            -0.00583
  6.4485            -0.00734            -0.00653
  6.5111            -0.00746            -0.00729
  6.5737            -0.00757            -0.00811
  6.6363            -0.00764            -0.00900
  6.6989            -0.00767            -0.00995
  6.7615            -0.00767            -0.01097
