#Distance(A)    Macroscopic-Average    Planar-Average
  0.0000            -0.00001            -0.00001
  0.0619            -0.00001            -0.00001
  0.1237            -0.00001            -0.00001
  0.1856            -0.00001            -0.00001
  0.2475            -0.00001            -0.00001
  0.3093            -0.00001            -0.00001
  0.3712            -0.00001            -0.00001
  0.4331            -0.00001            -0.00001
  0.4949            -0.00000            -0.00001
  0.5568            -0.00000            -0.00001
  0.6187            -0.00000            -0.00000
  0.6805            -0.00000            -0.00000
  0.7424            -0.00000            -0.00000
  0.8043            -0.00000            -0.00000
  0.8661            -0.00000            -0.00000
  0.9280            -0.00000            -0.00000
  0.9899            -0.00000            -0.00000
  1.0517            -0.00000            -0.00000
  1.1136            -0.00000            -0.00000
  1.1755            -0.00000            -0.00000
  1.2373            -0.00000            -0.00000
  1.2992            -0.00000            -0.00000
  1.3611            -0.00000            -0.00000
  1.4230             0.00000            -0.00000
  1.4848             0.00000             0.00000
  1.5467             0.00000             0.00000
  1.6086             0.00000             0.00000
  1.6704             0.00000             0.00000
  1.7323             0.00000             0.00000
  1.7942             0.00000             0.00000
  1.8560             0.00000             0.00000
  1.9179             0.00000             0.00000
  1.9798             0.00000             0.00000
  2.0416             0.00000             0.00000
  2.1035             0.00001             0.00000
  2.1654             0.00001             0.00001
  2.2272             0.00001             0.00001
  2.2891             0.00001             0.00001
  2.3510             0.00001             0.00001
  2.4128             0.00001             0.00001
  2.4747             0.00001             0.00001
  2.5366             0.00001             0.00001
  2.5984             0.00001             0.00001
  2.6603             0.00001             0.00001
  2.7222             0.00001             0.00001
  2.7840             0.00001             0.00001
  2.8459             0.00001             0.00001
  2.9078             0.00001             0.00001
  2.9696             0.00001             0.00001
  3.0315             0.00001             0.00001
  3.0934             0.00001             0.00001
  3.1552             0.00001             0.00001
  3.2171             0.00001             0.00001
  3.2790             0.00001             0.00001
  3.3408             0.00001             0.00001
  3.4027             0.00001             0.00001
  3.4646             0.00001             0.00001
  3.5264             0.00001             0.00001
  3.5883             0.00001             0.00001
  3.6502             0.00001             0.00001
  3.7120             0.00000             0.00001
  3.7739             0.00000             0.00001
  3.8358             0.00000             0.00001
  3.8976            -0.00000             0.00001
  3.9595            -0.00001             0.00001
  4.0214            -0.00001             0.00001
  4.0832            -0.00001             0.00001
  4.1451            -0.00002             0.00000
  4.2070            -0.00002             0.00000
  4.2689            -0.00003            -0.00000
  4.3307            -0.00004            -0.00000
  4.3926            -0.00005            -0.00001
  4.4545            -0.00006            -0.00001
  4.5163            -0.00007            -0.00002
  4.5782            -0.00008            -0.00003
  4.6401            -0.00010            -0.00003
  4.7019            -0.00011            -0.00004
  4.7638            -0.00013            -0.00005
