#Distance(A)    Macroscopic-Average    Planar-Average
  0.0000            -0.00002            -0.00002
  0.0626            -0.00002            -0.00002
  0.1253            -0.00001            -0.00001
  0.1879            -0.00001            -0.00001
  0.2506            -0.00001            -0.00001
  0.3132            -0.00000            -0.00001
  0.3758            -0.00000            -0.00000
  0.4385             0.00000            -0.00000
  0.5011             0.00001             0.00000
  0.5637             0.00001             0.00001
  0.6264             0.00001             0.00001
  0.6890             0.00002             0.00001
  0.7517             0.00002             0.00002
  0.8143             0.00002             0.00002
  0.8769             0.00003             0.00002
  0.9396             0.00003             0.00003
  1.0022             0.00003             0.00003
  1.0648             0.00004             0.00004
  1.1275             0.00004             0.00004
  1.1901             0.00005             0.00005
  1.2528             0.00005             0.00005
  1.3154             0.00005             0.00005
  1.3780             0.00006             0.00005
  1.4407             0.00006             0.00006
  1.5033             0.00006             0.00007
  1.5659             0.00007             0.00007
  1.6286             0.00007             0.00007
  1.6912             0.00008             0.00008
  1.7539             0.00008             0.00008
  1.8165             0.00008             0.00008
  1.8791             0.00009             0.00009
  1.9418             0.00009             0.00009
  2.0044             0.00010             0.00010
  2.0670             0.00010             0.00010
  2.1297             0.00010             0.00011
  2.1923             0.00011             0.00011
  2.2550             0.00011             0.00011
  2.3176             0.00011             0.00011
  2.3802             0.00012             0.00012
  2.4429             0.00012             0.00012
  2.5055             0.00012             0.00013
  2.5682             0.00013             0.00013
  2.6308             0.00013             0.00014
  2.6934             0.00013             0.00014
  2.7561             0.00014             0.00014
  2.8187             0.00014             0.00014
  2.8813             0.00014             0.00014
  2.9440             0.00014             0.00015
  3.0066             0.00015             0.00015
  3.0693             0.00015             0.00016
  3.1319             0.00015             0.00016
  3.1945             0.00015             0.00016
  3.2572             0.00015             0.00016
  3.3198             0.00015             0.00016
  3.3824             0.00016             0.00016
  3.4451             0.00016             0.00017
  3.5077             0.00016             0.00017
  3.5704             0.00016             0.00017
  3.6330             0.00016             0.00017
  3.6956             0.00016             0.00017
  3.7583             0.00016             0.00017
  3.8209             0.00016             0.00017
  3.8835             0.00015             0.00017
  3.9462             0.00015             0.00017
  4.0088             0.00015             0.00017
  4.0715             0.00015             0.00017
  4.1341             0.00014             0.00017
  4.1967             0.00014             0.00017
  4.2594             0.00013             0.00016
  4.3220             0.00013             0.00016
  4.3846             0.00012             0.00015
  4.4473             0.00011             0.00015
  4.5099             0.00010             0.00015
  4.5726             0.00009             0.00014
  4.6352             0.00007             0.00013
  4.6978             0.00006             0.00012
  4.7605             0.00004             0.00011
  4.8231             0.00002             0.00010
  4.8858             0.00000             0.00009
  4.9484            -0.00002             0.00008
  5.0110            -0.00005             0.00006
  5.0737            -0.00008             0.00005
  5.1363            -0.00011             0.00003
  5.1989            -0.00015             0.00000
  5.2616            -0.00020            -0.00002
  5.3242            -0.00024            -0.00005
  5.3869            -0.00030            -0.00009
  5.4495            -0.00036            -0.00012
  5.5121            -0.00042            -0.00016
  5.5748            -0.00049            -0.00021
  5.6374            -0.00057            -0.00026
  5.7000            -0.00066            -0.00032
  5.7627            -0.00076            -0.00038
  5.8253            -0.00086            -0.00046
  5.8880            -0.00098            -0.00054
  5.9506            -0.00110            -0.00063
  6.0132            -0.00123            -0.00073
  6.0759            -0.00138            -0.00084
  6.1385            -0.00153            -0.00096
  6.2011            -0.00169            -0.00110
  6.2638            -0.00186            -0.00125
  6.3264            -0.00203            -0.00142
  6.3891            -0.00221            -0.00160
  6.4517            -0.00240            -0.00180
  6.5143            -0.00258            -0.00201
  6.5770            -0.00277            -0.00224
  6.6396            -0.00294            -0.00249
  6.7022            -0.00311            -0.00276
  6.7649            -0.00326            -0.00305
  6.8275            -0.00338            -0.00335
  6.8902            -0.00348            -0.00366
  6.9528            -0.00355            -0.00399
  7.0154            -0.00358            -0.00431
  7.0781            -0.00359            -0.00464
  7.1407            -0.00357            -0.00496
  7.2033            -0.00353            -0.00526
  7.2660            -0.00350            -0.00555
  7.3286            -0.00348            -0.00581
  7.3913            -0.00346            -0.00603
  7.4539            -0.00345            -0.00618
  7.5165            -0.00344            -0.00625
  7.5792            -0.00342            -0.00622
  7.6418            -0.00338            -0.00605
  7.7045            -0.00332            -0.00573
  7.7671            -0.00323            -0.00524
  7.8297            -0.00312            -0.00457
  7.8924            -0.00299            -0.00372
  7.9550            -0.00285            -0.00273
  8.0176            -0.00269            -0.00173
