#Distance(A)    Macroscopic-Average    Planar-Average
  0.0000             0.00003             0.00003
  0.0626             0.00003             0.00003
  0.1253             0.00003             0.00003
  0.1879             0.00003             0.00003
  0.2506             0.00003             0.00003
  0.3132             0.00003             0.00003
  0.3758             0.00003             0.00004
  0.4385             0.00004             0.00004
  0.5011             0.00004             0.00004
  0.5637             0.00004             0.00004
  0.6264             0.00004             0.00004
  0.6890             0.00004             0.00004
  0.7517             0.00004             0.00004
  0.8143             0.00004             0.00004
  0.8769             0.00004             0.00005
  0.9396             0.00004             0.00005
  1.0022             0.00005             0.00005
  1.0648             0.00005             0.00005
  1.1275             0.00005             0.00005
  1.1901             0.00005             0.00005
  1.2528             0.00005             0.00005
  1.3154             0.00005             0.00005
  1.3780             0.00005             0.00006
  1.4407             0.00005             0.00006
  1.5033             0.00005             0.00006
  1.5659             0.00005             0.00006
  1.6286             0.00006             0.00005
  1.6912             0.00006             0.00005
  1.7539             0.00006             0.00006
  1.8165             0.00006             0.00006
  1.8791             0.00006             0.00006
  1.9418             0.00006             0.00007
  2.0044             0.00006             0.00007
  2.0670             0.00006             0.00006
  2.1297             0.00006             0.00006
  2.1923             0.00006             0.00006
  2.2550             0.00006             0.00006
  2.3176             0.00006             0.00007
  2.3802             0.00006             0.00007
  2.4429             0.00006             0.00007
  2.5055             0.00006             0.00007
  2.5682             0.00006             0.00007
  2.6308             0.00006             0.00007
  2.6934             0.00006             0.00006
  2.7561             0.00006             0.00006
  2.8187             0.00006             0.00007
  2.8813             0.00006             0.00007
  2.9440             0.00006             0.00007
  3.0066             0.00006             0.00007
  3.0693             0.00006             0.00007
  3.1319             0.00006             0.00006
  3.1945             0.00006             0.00006
  3.2572             0.00006             0.00006
  3.3198             0.00006             0.00006
  3.3824             0.00006             0.00007
  3.4451             0.00006             0.00007
  3.5077             0.00006             0.00007
  3.5704             0.00006             0.00006
  3.6330             0.00005             0.00006
  3.6956             0.00005             0.00005
  3.7583             0.00005             0.00005
  3.8209             0.00005             0.00005
  3.8835             0.00005             0.00006
  3.9462             0.00004             0.00006
  4.0088             0.00004             0.00005
  4.0715             0.00004             0.00005
  4.1341             0.00003             0.00004
  4.1967             0.00003             0.00004
  4.2594             0.00002             0.00003
  4.3220             0.00002             0.00003
  4.3846             0.00001             0.00003
  4.4473             0.00001             0.00003
  4.5099             0.00000             0.00003
  4.5726            -0.00001             0.00002
  4.6352            -0.00001             0.00001
  4.6978            -0.00002             0.00000
  4.7605            -0.00003            -0.00000
  4.8231            -0.00005            -0.00001
  4.8858            -0.00006            -0.00001
  4.9484            -0.00007            -0.00001
  5.0110            -0.00009            -0.00002
  5.0737            -0.00011            -0.00004
  5.1363            -0.00013            -0.00005
  5.1989            -0.00015            -0.00007
  5.2616            -0.00018            -0.00009
  5.3242            -0.00021            -0.00010
  5.3869            -0.00024            -0.00011
  5.4495            -0.00027            -0.00013
  5.5121            -0.00031            -0.00015
  5.5748            -0.00036            -0.00018
  5.6374            -0.00041            -0.00022
  5.7000            -0.00046            -0.00026
  5.7627            -0.00052            -0.00029
  5.8253            -0.00058            -0.00033
  5.8880            -0.00065            -0.00037
  5.9506            -0.00073            -0.00042
  6.0132            -0.00081            -0.00048
  6.0759            -0.00090            -0.00055
  6.1385            -0.00099            -0.00064
  6.2011            -0.00109            -0.00073
  6.2638            -0.00120            -0.00082
  6.3264            -0.00131            -0.00092
  6.3891            -0.00142            -0.00102
  6.4517            -0.00153            -0.00114
  6.5143            -0.00164            -0.00127
  6.5770            -0.00175            -0.00142
  6.6396            -0.00185            -0.00159
  6.7022            -0.00195            -0.00176
  6.7649            -0.00203            -0.00195
  6.8275            -0.00209            -0.00213
  6.8902            -0.00213            -0.00231
  6.9528            -0.00215            -0.00251
  7.0154            -0.00214            -0.00271
  7.0781            -0.00212            -0.00293
  7.1407            -0.00207            -0.00314
  7.2033            -0.00202            -0.00335
  7.2660            -0.00197            -0.00353
  7.3286            -0.00193            -0.00367
  7.3913            -0.00190            -0.00376
  7.4539            -0.00187            -0.00381
  7.5165            -0.00184            -0.00382
  7.5792            -0.00181            -0.00375
  7.6418            -0.00177            -0.00361
  7.7045            -0.00172            -0.00334
  7.7671            -0.00165            -0.00294
  7.8297            -0.00158            -0.00238
  7.8924            -0.00150            -0.00169
  7.9550            -0.00142            -0.00092
  8.0176            -0.00133            -0.00017
  8.0803            -0.00124             0.00046
  8.1429            -0.00116             0.00087
  8.2056            -0.00107             0.00101
  8.2682            -0.00097             0.00088
  8.3308            -0.00088             0.00058
  8.3935            -0.00079             0.00021
  8.4561            -0.00070            -0.00010
  8.5187            -0.00061            -0.00025
  8.5814            -0.00053            -0.00023
  8.6440            -0.00045            -0.00006
  8.7067            -0.00037             0.00017
  8.7693            -0.00030             0.00037
  8.8319            -0.00024             0.00048
  8.8946            -0.00019             0.00049
  8.9572            -0.00015             0.00042
  9.0198            -0.00013             0.00029
  9.0825            -0.00013             0.00015
  9.1451            -0.00015            -0.00000
  9.2078            -0.00017            -0.00015
  9.2704            -0.00020            -0.00031
  9.3330            -0.00023            -0.00048
  9.3957            -0.00025            -0.00065
  9.4583            -0.00026            -0.00080
  9.5209            -0.00027            -0.00093
  9.5836            -0.00027            -0.00101
  9.6462            -0.00027            -0.00106
  9.7089            -0.00027            -0.00105
  9.7715            -0.00027            -0.00100
  9.8341            -0.00028            -0.00090
  9.8968            -0.00028            -0.00075
  9.9594            -0.00028            -0.00056
 10.0221            -0.00028            -0.00035
 10.0847            -0.00027            -0.00015
 10.1473            -0.00026             0.00001
 10.2100            -0.00024             0.00008
 10.2726            -0.00023             0.00007
 10.3352            -0.00021            -0.00001
 10.3979            -0.00019            -0.00013
 10.4605            -0.00017            -0.00024
 10.5232            -0.00016            -0.00031
 10.5858            -0.00015            -0.00030
 10.6484            -0.00014            -0.00022
 10.7111            -0.00013            -0.00009
