#Distance(A)    Macroscopic-Average    Planar-Average
  0.0000            -0.00031            -0.00032
  0.0626            -0.00031            -0.00032
  0.1253            -0.00031            -0.00033
  0.1879            -0.00031            -0.00032
  0.2506            -0.00031            -0.00032
  0.3132            -0.00030            -0.00031
  0.3758            -0.00030            -0.00030
  0.4385            -0.00030            -0.00030
  0.5011            -0.00030            -0.00030
  0.5637            -0.00029            -0.00030
  0.6264            -0.00029            -0.00030
  0.6890            -0.00029            -0.00030
  0.7517            -0.00028            -0.00029
  0.8143            -0.00028            -0.00028
  0.8769            -0.00028            -0.00028
  0.9396            -0.00027            -0.00027
  1.0022            -0.00027            -0.00027
  1.0648            -0.00027            -0.00027
  1.1275            -0.00026            -0.00027
  1.1901            -0.00026            -0.00027
  1.2528            -0.00025            -0.00026
  1.3154            -0.00025            -0.00025
  1.3780            -0.00024            -0.00024
  1.4407            -0.00024            -0.00024
  1.5033            -0.00023            -0.00024
  1.5659            -0.00023            -0.00024
  1.6286            -0.00023            -0.00023
  1.6912            -0.00022            -0.00023
  1.7539            -0.00022            -0.00022
  1.8165            -0.00021            -0.00021
  1.8791            -0.00021            -0.00020
  1.9418            -0.00020            -0.00020
  2.0044            -0.00020            -0.00019
  2.0670            -0.00019            -0.00019
  2.1297            -0.00019            -0.00019
  2.1923            -0.00018            -0.00019
  2.2550            -0.00018            -0.00018
  2.3176            -0.00017            -0.00017
  2.3802            -0.00017            -0.00016
  2.4429            -0.00016            -0.00015
  2.5055            -0.00016            -0.00015
  2.5682            -0.00015            -0.00015
  2.6308            -0.00015            -0.00015
  2.6934            -0.00014            -0.00015
  2.7561            -0.00014            -0.00014
  2.8187            -0.00013            -0.00013
  2.8813            -0.00013            -0.00012
  2.9440            -0.00012            -0.00011
  3.0066            -0.00012            -0.00011
  3.0693            -0.00012            -0.00011
  3.1319            -0.00011            -0.00011
  3.1945            -0.00011            -0.00011
  3.2572            -0.00011            -0.00010
  3.3198            -0.00010            -0.00009
  3.3824            -0.00010            -0.00008
  3.4451            -0.00010            -0.00008
  3.5077            -0.00009            -0.00008
  3.5704            -0.00009            -0.00008
  3.6330            -0.00009            -0.00008
  3.6956            -0.00009            -0.00008
  3.7583            -0.00009            -0.00008
  3.8209            -0.00009            -0.00007
  3.8835            -0.00008            -0.00006
  3.9462            -0.00008            -0.00006
  4.0088            -0.00009            -0.00006
  4.0715            -0.00009            -0.00007
  4.1341            -0.00009            -0.00007
  4.1967            -0.00009            -0.00007
  4.2594            -0.00009            -0.00007
  4.3220            -0.00010            -0.00006
  4.3846            -0.00010            -0.00006
  4.4473            -0.00011            -0.00006
  4.5099            -0.00012            -0.00007
  4.5726            -0.00013            -0.00008
  4.6352            -0.00014            -0.00009
  4.6978            -0.00015            -0.00010
  4.7605            -0.00017            -0.00010
  4.8231            -0.00018            -0.00010
  4.8858            -0.00020            -0.00011
  4.9484            -0.00022            -0.00011
  5.0110            -0.00025            -0.00013
  5.0737            -0.00028            -0.00015
  5.1363            -0.00031            -0.00018
  5.1989            -0.00035            -0.00020
  5.2616            -0.00039            -0.00022
  5.3242            -0.00044            -0.00024
  5.3869            -0.00049            -0.00026
  5.4495            -0.00054            -0.00029
  5.5121            -0.00061            -0.00034
  5.5748            -0.00068            -0.00039
  5.6374            -0.00076            -0.00044
  5.7000            -0.00085            -0.00050
  5.7627            -0.00094            -0.00057
  5.8253            -0.00105            -0.00063
  5.8880            -0.00116            -0.00070
  5.9506            -0.00128            -0.00079
  6.0132            -0.00141            -0.00089
  6.0759            -0.00155            -0.00101
  6.1385            -0.00170            -0.00115
  6.2011            -0.00186            -0.00129
  6.2638            -0.00203            -0.00144
  6.3264            -0.00220            -0.00160
  6.3891            -0.00238            -0.00177
  6.4517            -0.00256            -0.00197
  6.5143            -0.00275            -0.00218
  6.5770            -0.00293            -0.00242
  6.6396            -0.00310            -0.00268
  6.7022            -0.00326            -0.00296
  6.7649            -0.00340            -0.00324
  6.8275            -0.00352            -0.00353
  6.8902            -0.00360            -0.00382
  6.9528            -0.00365            -0.00413
  7.0154            -0.00366            -0.00446
  7.0781            -0.00364            -0.00479
  7.1407            -0.00360            -0.00512
  7.2033            -0.00353            -0.00543
  7.2660            -0.00347            -0.00571
  7.3286            -0.00341            -0.00594
  7.3913            -0.00337            -0.00613
  7.4539            -0.00333            -0.00626
  7.5165            -0.00329            -0.00632
  7.5792            -0.00325            -0.00628
  7.6418            -0.00318            -0.00610
  7.7045            -0.00310            -0.00575
  7.7671            -0.00300            -0.00520
  7.8297            -0.00288            -0.00443
  7.8924            -0.00274            -0.00344
  7.9550            -0.00259            -0.00232
  8.0176            -0.00245            -0.00118
  8.0803            -0.00229            -0.00017
  8.1429            -0.00214             0.00055
  8.2056            -0.00199             0.00089
  8.2682            -0.00184             0.00083
  8.3308            -0.00169             0.00045
  8.3935            -0.00154            -0.00006
  8.4561            -0.00140            -0.00051
  8.5187            -0.00127            -0.00075
  8.5814            -0.00114            -0.00070
  8.6440            -0.00101            -0.00040
  8.7067            -0.00089             0.00003
  8.7693            -0.00078             0.00047
  8.8319            -0.00067             0.00080
  8.8946            -0.00058             0.00097
  8.9572            -0.00050             0.00095
  9.0198            -0.00044             0.00080
  9.0825            -0.00040             0.00055
  9.1451            -0.00039             0.00024
  9.2078            -0.00039            -0.00010
  9.2704            -0.00041            -0.00045
  9.3330            -0.00043            -0.00080
  9.3957            -0.00044            -0.00114
  9.4583            -0.00044            -0.00148
  9.5209            -0.00042            -0.00177
  9.5836            -0.00039            -0.00201
  9.6462            -0.00035            -0.00216
  9.7089            -0.00031            -0.00217
  9.7715            -0.00028            -0.00203
  9.8341            -0.00026            -0.00174
