#Distance(A)    Macroscopic-Average    Planar-Average
 11.6448             0.00006            -0.00037
 11.7074             0.00007            -0.00050
 11.7700             0.00009            -0.00059
 11.8326             0.00009            -0.00062
 11.8952             0.00010            -0.00060
 11.9578             0.00010            -0.00051
 12.0204             0.00009            -0.00040
 12.0830             0.00008            -0.00028
 12.1456             0.00006            -0.00019
 12.2082             0.00004            -0.00014
 12.2708             0.00001            -0.00014
 12.3335            -0.00001            -0.00018
 12.3961            -0.00004            -0.00021
 12.4587            -0.00007            -0.00021
 12.5213            -0.00009            -0.00014
 12.5839            -0.00011            -0.00001
 12.6465            -0.00012             0.00016
 12.7091            -0.00013             0.00034
 12.7717            -0.00013             0.00050
 12.8343            -0.00013             0.00061
 12.8969            -0.00012             0.00065
 12.9595            -0.00011             0.00063
 13.0221            -0.00010             0.00055
 13.0847            -0.00008             0.00042
 13.1473            -0.00007             0.00027
 13.2099            -0.00006             0.00009
 13.2725            -0.00006            -0.00008
 13.3352            -0.00005            -0.00024
 13.3978            -0.00005            -0.00038
 13.4604            -0.00005            -0.00050
 13.5230            -0.00004            -0.00059
 13.5856            -0.00004            -0.00064
 13.6482            -0.00004            -0.00066
 13.7108            -0.00004            -0.00064
 13.7734            -0.00003            -0.00059
 13.8360            -0.00003            -0.00049
 13.8986            -0.00003            -0.00037
 13.9612            -0.00003            -0.00022
 14.0238            -0.00002            -0.00008
 14.0864            -0.00002             0.00003
 14.1490            -0.00001             0.00010
 14.2116            -0.00000             0.00011
 14.2742             0.00001             0.00006
 14.3369             0.00002            -0.00002
 14.3995             0.00003            -0.00009
 14.4621             0.00004            -0.00013
 14.5247             0.00005            -0.00011
 14.5873             0.00005            -0.00004
 14.6499             0.00005             0.00009
 14.7125             0.00005             0.00025
 14.7751             0.00005             0.00041
 14.8377             0.00005             0.00056
 14.9003             0.00005             0.00068
 14.9629             0.00005             0.00074
 15.0255             0.00005             0.00076
 15.0881             0.00005             0.00073
 15.1507             0.00005             0.00066
 15.2133             0.00005             0.00056
 15.2759             0.00005             0.00043
 15.3386             0.00005             0.00027
 15.4012             0.00004             0.00010
 15.4638             0.00005            -0.00008
 15.5264             0.00005            -0.00026
 15.5890             0.00006            -0.00043
 15.6516             0.00007            -0.00056
 15.7142             0.00008            -0.00065
 15.7768             0.00009            -0.00067
 15.8394             0.00010            -0.00062
 15.9020             0.00010            -0.00050
 15.9646             0.00010            -0.00035
 16.0272             0.00009            -0.00018
 16.0898             0.00007            -0.00005
 16.1524             0.00005             0.00003
 16.2150             0.00003             0.00004
 16.2777             0.00000             0.00000
 16.3403            -0.00002            -0.00006
 16.4029            -0.00005            -0.00009
 16.4655            -0.00007            -0.00007
 16.5281            -0.00009             0.00002
 16.5907            -0.00010             0.00017
 16.6533            -0.00011             0.00033
 16.7159            -0.00011             0.00048
 16.7785            -0.00011             0.00059
 16.8411            -0.00010             0.00064
 16.9037            -0.00009             0.00061
 16.9663            -0.00008             0.00053
 17.0289            -0.00006             0.00041
 17.0915            -0.00006             0.00025
 17.1541            -0.00005             0.00008
 17.2167            -0.00005            -0.00010
 17.2794            -0.00005            -0.00026
 17.3420            -0.00005            -0.00041
 17.4046            -0.00006            -0.00053
 17.4672            -0.00006            -0.00063
 17.5298            -0.00006            -0.00068
 17.5924            -0.00005            -0.00070
 17.6550            -0.00005            -0.00068
 17.7176            -0.00005            -0.00063
 17.7802            -0.00005            -0.00053
 17.8428            -0.00005            -0.00040
 17.9054            -0.00005            -0.00025
 17.9680            -0.00004            -0.00010
 18.0306            -0.00004             0.00002
 18.0932            -0.00003             0.00009
 18.1558            -0.00002             0.00011
 18.2184            -0.00001             0.00007
 18.2811             0.00000             0.00000
 18.3437             0.00001            -0.00007
 18.4063             0.00002            -0.00012
 18.4689             0.00003            -0.00012
 18.5315             0.00004            -0.00005
 18.5941             0.00005             0.00006
 18.6567             0.00005             0.00021
 18.7193             0.00005             0.00037
 18.7819             0.00005             0.00052
 18.8445             0.00006             0.00063
 18.9071             0.00006             0.00070
 18.9697             0.00006             0.00073
 19.0323             0.00006             0.00071
 19.0949             0.00006             0.00066
 19.1575             0.00006             0.00057
 19.2201             0.00005             0.00045
 19.2828             0.00005             0.00030
 19.3454             0.00005             0.00014
 19.4080             0.00005            -0.00003
 19.4706             0.00005            -0.00020
 19.5332             0.00006            -0.00036
 19.5958             0.00007            -0.00050
 19.6584             0.00008            -0.00059
 19.7210             0.00009            -0.00062
 19.7836             0.00010            -0.00059
 19.8462             0.00010            -0.00050
 19.9088             0.00010            -0.00036
 19.9714             0.00009            -0.00020
 20.0340             0.00008            -0.00007
 20.0966             0.00006             0.00001
 20.1592             0.00004             0.00003
 20.2218             0.00001            -0.00000
 20.2845            -0.00001            -0.00006
 20.3471            -0.00004            -0.00009
 20.4097            -0.00006            -0.00008
 20.4723            -0.00008             0.00000
 20.5349            -0.00010             0.00014
 20.5975            -0.00011             0.00029
 20.6601            -0.00011             0.00045
 20.7227            -0.00011             0.00056
 20.7853            -0.00010             0.00061
 20.8479            -0.00009             0.00061
 20.9105            -0.00008             0.00054
 20.9731            -0.00007             0.00042
 21.0357            -0.00006             0.00027
 21.0983            -0.00006             0.00011
 21.1609            -0.00006            -0.00007
 21.2236            -0.00006            -0.00024
 21.2862            -0.00006            -0.00039
 21.3488            -0.00006            -0.00051
 21.4114            -0.00006            -0.00061
 21.4740            -0.00006            -0.00067
 21.5366            -0.00006            -0.00070
 21.5992            -0.00006            -0.00069
 21.6618            -0.00006            -0.00064
