#Distance(A)    Macroscopic-Average    Planar-Average
  0.0000            -0.00001            -0.00001
  0.0626            -0.00001            -0.00001
  0.1253            -0.00001            -0.00001
  0.1879            -0.00001            -0.00001
  0.2506            -0.00001            -0.00001
  0.3132            -0.00001            -0.00001
  0.3758            -0.00001            -0.00001
  0.4385            -0.00001            -0.00001
  0.5011            -0.00001            -0.00001
  0.5637            -0.00001            -0.00001
  0.6264            -0.00001            -0.00001
  0.6890            -0.00001            -0.00001
  0.7517            -0.00001            -0.00001
  0.8143            -0.00001            -0.00001
  0.8769            -0.00001            -0.00001
  0.9396            -0.00001            -0.00001
  1.0022            -0.00001            -0.00001
  1.0648            -0.00001            -0.00001
  1.1275            -0.00001            -0.00001
  1.1901            -0.00001            -0.00001
  1.2528            -0.00001            -0.00001
  1.3154            -0.00001            -0.00001
  1.3780            -0.00001            -0.00001
  1.4407            -0.00001            -0.00001
  1.5033            -0.00001            -0.00001
  1.5659            -0.00001            -0.00001
  1.6286            -0.00001            -0.00001
  1.6912            -0.00001            -0.00001
  1.7539            -0.00001            -0.00001
  1.8165            -0.00001            -0.00001
  1.8791            -0.00001            -0.00001
  1.9418            -0.00001            -0.00001
  2.0044            -0.00001            -0.00001
  2.0670            -0.00001            -0.00001
  2.1297            -0.00001            -0.00001
  2.1923            -0.00001            -0.00001
  2.2550            -0.00001            -0.00001
  2.3176            -0.00001            -0.00001
  2.3802            -0.00001            -0.00001
  2.4429            -0.00001            -0.00001
  2.5055            -0.00001            -0.00001
  2.5682            -0.00001            -0.00001
  2.6308            -0.00001            -0.00001
  2.6934            -0.00001            -0.00001
  2.7561            -0.00001            -0.00001
  2.8187            -0.00001            -0.00001
  2.8813            -0.00001            -0.00001
  2.9440            -0.00001            -0.00001
  3.0066            -0.00001            -0.00001
  3.0693            -0.00001            -0.00001
  3.1319            -0.00001            -0.00001
  3.1945            -0.00001            -0.00000
  3.2572            -0.00001            -0.00000
  3.3198            -0.00000            -0.00000
  3.3824            -0.00000            -0.00000
  3.4451            -0.00000            -0.00000
  3.5077            -0.00000            -0.00000
  3.5704            -0.00000            -0.00000
  3.6330            -0.00000            -0.00000
  3.6956            -0.00000            -0.00000
  3.7583            -0.00000            -0.00000
  3.8209            -0.00001            -0.00000
  3.8835            -0.00001            -0.00000
  3.9462            -0.00001            -0.00000
  4.0088            -0.00001            -0.00000
  4.0715            -0.00001            -0.00000
  4.1341            -0.00001            -0.00000
  4.1967            -0.00001            -0.00000
  4.2594            -0.00001            -0.00000
  4.3220            -0.00001            -0.00000
  4.3846            -0.00001            -0.00001
  4.4473            -0.00002            -0.00001
  4.5099            -0.00002            -0.00001
  4.5726            -0.00002            -0.00001
  4.6352            -0.00003            -0.00001
  4.6978            -0.00003            -0.00001
  4.7605            -0.00003            -0.00002
  4.8231            -0.00004            -0.00002
  4.8858            -0.00004            -0.00002
  4.9484            -0.00005            -0.00002
  5.0110            -0.00006            -0.00003
  5.0737            -0.00007            -0.00003
  5.1363            -0.00008            -0.00004
  5.1989            -0.00009            -0.00005
  5.2616            -0.00010            -0.00005
  5.3242            -0.00012            -0.00006
  5.3869            -0.00013            -0.00007
  5.4495            -0.00015            -0.00008
  5.5121            -0.00017            -0.00009
  5.5748            -0.00020            -0.00011
  5.6374            -0.00022            -0.00012
  5.7000            -0.00025            -0.00014
  5.7627            -0.00028            -0.00016
  5.8253            -0.00032            -0.00019
  5.8880            -0.00035            -0.00021
  5.9506            -0.00040            -0.00024
  6.0132            -0.00044            -0.00028
  6.0759            -0.00049            -0.00032
  6.1385            -0.00054            -0.00036
  6.2011            -0.00060            -0.00041
  6.2638            -0.00066            -0.00046
  6.3264            -0.00072            -0.00051
  6.3891            -0.00078            -0.00058
  6.4517            -0.00085            -0.00065
  6.5143            -0.00092            -0.00072
  6.5770            -0.00099            -0.00080
  6.6396            -0.00106            -0.00089
