#Distance(A)    Macroscopic-Average    Planar-Average
 11.9012            -0.00258            -0.00238
 11.9638            -0.00244            -0.00416
 12.0265            -0.00223            -0.00604
 12.0891            -0.00200            -0.00790
 12.1517            -0.00175            -0.00957
 12.2144            -0.00153            -0.01078
 12.2770            -0.00132            -0.01125
 12.3397            -0.00114            -0.01075
 12.4023            -0.00098            -0.00927
 12.4649            -0.00084            -0.00706
 12.5276            -0.00071            -0.00455
 12.5902            -0.00060            -0.00220
 12.6528            -0.00052            -0.00028
 12.7155            -0.00046             0.00113
 12.7781            -0.00042             0.00219
 12.8408            -0.00039             0.00308
 12.9034            -0.00034             0.00394
 12.9660            -0.00026             0.00474
 13.0287            -0.00014             0.00537
 13.0913             0.00004             0.00570
 13.1539             0.00026             0.00571
 13.2166             0.00052             0.00547
 13.2792             0.00080             0.00510
 13.3419             0.00107             0.00474
 13.4045             0.00130             0.00446
 13.4671             0.00147             0.00429
 13.5298             0.00156             0.00416
 13.5924             0.00158             0.00396
 13.6550             0.00155             0.00358
 13.7177             0.00150             0.00297
 13.7803             0.00146             0.00220
 13.8430             0.00145             0.00140
 13.9056             0.00147             0.00071
 13.9682             0.00151             0.00023
 14.0309             0.00155            -0.00006
 14.0935             0.00158            -0.00026
 14.1561             0.00159            -0.00052
 14.2188             0.00160            -0.00095
 14.2814             0.00160            -0.00157
 14.3441             0.00160            -0.00234
 14.4067             0.00160            -0.00312
 14.4693             0.00159            -0.00375
 14.5320             0.00157            -0.00407
 14.5946             0.00152            -0.00391
 14.6573             0.00145            -0.00319
 14.7199             0.00137            -0.00188
 14.7825             0.00131            -0.00012
 14.8452             0.00131             0.00186
 14.9078             0.00137             0.00373
 14.9704             0.00152             0.00519
 15.0331             0.00171             0.00606
 15.0957             0.00189             0.00633
 15.1584             0.00202             0.00617
 15.2210             0.00203             0.00581
 15.2836             0.00189             0.00543
 15.3463             0.00162             0.00510
 15.4089             0.00123             0.00477
 15.4715             0.00079             0.00428
 15.5342             0.00034             0.00355
 15.5968            -0.00007             0.00259
 15.6595            -0.00042             0.00161
 15.7221            -0.00068             0.00098
 15.7847            -0.00087             0.00105
 15.8474            -0.00102             0.00200
 15.9100            -0.00114             0.00365
 15.9726            -0.00126             0.00542
 16.0353            -0.00140             0.00650
 16.0979            -0.00153             0.00612
 16.1606            -0.00167             0.00384
 16.2232            -0.00179            -0.00020
 16.2858            -0.00190            -0.00536
 16.3485            -0.00198            -0.01065
 16.4111            -0.00205            -0.01505
 16.4737            -0.00211            -0.01783
 16.5364            -0.00215            -0.01867
 16.5990            -0.00218            -0.01765
 16.6617            -0.00219            -0.01518
 16.7243            -0.00218            -0.01184
 16.7869            -0.00214            -0.00825
 16.8496            -0.00210            -0.00492
 16.9122            -0.00209            -0.00223
 16.9749            -0.00213            -0.00033
 17.0375            -0.00224             0.00084
 17.1001            -0.00239             0.00148
 17.1628            -0.00255             0.00185
 17.2254            -0.00267             0.00213
 17.2880            -0.00270             0.00241
 17.3507            -0.00260             0.00265
 17.4133            -0.00234             0.00282
 17.4760            -0.00194             0.00285
 17.5386            -0.00143             0.00274
 17.6012            -0.00086             0.00254
 17.6639            -0.00027             0.00232
 17.7265             0.00030             0.00217
 17.7891             0.00083             0.00214
 17.8518             0.00131             0.00222
 17.9144             0.00172             0.00233
 17.9771             0.00206             0.00233
 18.0397             0.00234             0.00209
 18.1023             0.00257             0.00154
 18.1650             0.00275             0.00072
 18.2276             0.00291            -0.00025
 18.2902             0.00304            -0.00117
 18.3529             0.00315            -0.00183
 18.4155             0.00323            -0.00209
 18.4782             0.00328            -0.00187
 18.5408             0.00330            -0.00112
 18.6034             0.00331             0.00014
 18.6661             0.00331             0.00182
 18.7287             0.00336             0.00375
 18.7913             0.00349             0.00570
 18.8540             0.00373             0.00738
 18.9166             0.00409             0.00854
 18.9793             0.00454             0.00905
 19.0419             0.00503             0.00893
 19.1045             0.00545             0.00839
 19.1672             0.00571             0.00766
 19.2298             0.00575             0.00697
 19.2924             0.00552             0.00641
 19.3551             0.00505             0.00592
 19.4177             0.00438             0.00533
 19.4804             0.00360             0.00455
 19.5430             0.00280             0.00363
 19.6056             0.00203             0.00287
 19.6683             0.00135             0.00278
 19.7309             0.00076             0.00387
 19.7936             0.00024             0.00639
 19.8562            -0.00022             0.01008
 19.9188            -0.00065             0.01414
 19.9815            -0.00105             0.01731
 20.0441            -0.00143             0.01825
 20.1067            -0.00176             0.01597
 20.1694            -0.00205             0.01029
 20.2320            -0.00229             0.00189
 20.2947            -0.00249            -0.00775
 20.3573            -0.00266            -0.01686
 20.4199            -0.00282            -0.02385
 20.4826            -0.00295            -0.02776
 20.5452            -0.00308            -0.02839
 20.6078            -0.00318            -0.02628
 20.6705            -0.00326            -0.02239
 20.7331            -0.00334            -0.01777
 20.7958            -0.00344            -0.01332
 20.8584            -0.00360            -0.00958
 20.9210            -0.00386            -0.00674
 20.9837            -0.00423            -0.00471
 21.0463            -0.00468            -0.00325
 21.1089            -0.00517            -0.00210
 21.1716            -0.00561            -0.00112
 21.2342            -0.00591            -0.00029
 21.2969            -0.00597             0.00035
 21.3595            -0.00577             0.00073
 21.4221            -0.00529             0.00084
 21.4848            -0.00460             0.00073
 21.5474            -0.00377             0.00050
 21.6100            -0.00287             0.00027
 21.6727            -0.00198             0.00014
 21.7353            -0.00116             0.00022
 21.7980            -0.00042             0.00053
 21.8606             0.00022             0.00103
 21.9232             0.00076             0.00160
 21.9859             0.00121             0.00206
 22.0485             0.00159             0.00224
 22.1112             0.00190             0.00203
 22.1738             0.00217             0.00145
 22.2364             0.00240             0.00062
 22.2991             0.00259            -0.00026
 22.3617             0.00275            -0.00096
 22.4243             0.00288            -0.00126
 22.4870             0.00299            -0.00102
 22.5496             0.00309            -0.00017
 22.6123             0.00319             0.00122
 22.6749             0.00332             0.00300
 22.7375             0.00351             0.00487
 22.8002             0.00380             0.00652
 22.8628             0.00419             0.00769
 22.9254             0.00465             0.00823
 22.9881             0.00512             0.00819
 23.0507             0.00553             0.00776
 23.1134             0.00579             0.00720
 23.1760             0.00582             0.00669
 23.2386             0.00562             0.00633
 23.3013             0.00518             0.00604
 23.3639             0.00456             0.00569
 23.4265             0.00385             0.00515
 23.4892             0.00312             0.00446
 23.5518             0.00243             0.00385
 23.6145             0.00182             0.00374
 23.6771             0.00129             0.00458
 23.7397             0.00083             0.00664
 23.8024             0.00042             0.00976
 23.8650             0.00004             0.01330
 23.9276            -0.00031             0.01620
 23.9903            -0.00065             0.01724
 24.0529            -0.00095             0.01549
 24.1156            -0.00121             0.01066
 24.1782            -0.00144             0.00327
 24.2408            -0.00165            -0.00545
 24.3035            -0.00183            -0.01389
 24.3661            -0.00202            -0.02055
 24.4288            -0.00220            -0.02447
 24.4914            -0.00237            -0.02539
 24.5540            -0.00255            -0.02373
 24.6167            -0.00272            -0.02034
 24.6793            -0.00290            -0.01619
 24.7419            -0.00311            -0.01211
 24.8046            -0.00337            -0.00864
 24.8672            -0.00370            -0.00599
 24.9299            -0.00412            -0.00409
 24.9925            -0.00460            -0.00275
 25.0551            -0.00510            -0.00175
 25.1178            -0.00554            -0.00098
 25.1804            -0.00585            -0.00040
 25.2430            -0.00595            -0.00002
 25.3057            -0.00581             0.00013
 25.3683            -0.00544             0.00003
 25.4310            -0.00487            -0.00027
 25.4936            -0.00416            -0.00073
 25.5562            -0.00338            -0.00128
 25.6189            -0.00260            -0.00181
 25.6815            -0.00186            -0.00218
 25.7441            -0.00119            -0.00227
 25.8068            -0.00061            -0.00198
 25.8694            -0.00010            -0.00135
 25.9321             0.00033            -0.00051
 25.9947             0.00069             0.00030
 26.0573             0.00099             0.00084
 26.1200             0.00126             0.00094
 26.1826             0.00149             0.00058
 26.2452             0.00171            -0.00013
 26.3079             0.00192            -0.00093
 26.3705             0.00211            -0.00153
 26.4332             0.00230            -0.00164
 26.4958             0.00248            -0.00108
 26.5584             0.00267             0.00019
 26.6211             0.00289             0.00200
 26.6837             0.00315             0.00404
 26.7464             0.00348             0.00592
 26.8090             0.00387             0.00732
 26.8716             0.00431             0.00805
 26.9343             0.00474             0.00814
 26.9969             0.00510             0.00782
 27.0595             0.00531             0.00735
 27.1222             0.00532             0.00698
 27.1848             0.00511             0.00680
 27.2475             0.00471             0.00677
 27.3101             0.00416             0.00674
 27.3727             0.00355             0.00657
 27.4354             0.00293             0.00620
 27.4980             0.00237             0.00576
 27.5606             0.00189             0.00551
 27.6233             0.00150             0.00579
 27.6859             0.00116             0.00685
 27.7486             0.00087             0.00865
 27.8112             0.00059             0.01079
 27.8738             0.00032             0.01251
 27.9365             0.00006             0.01290
 27.9991            -0.00019             0.01122
 28.0617            -0.00042             0.00719
 28.1244            -0.00062             0.00117
 28.1870            -0.00082            -0.00589
 28.2497            -0.00100            -0.01272
 28.3123            -0.00120            -0.01811
 28.3749            -0.00140            -0.02122
 28.4376            -0.00162            -0.02179
 28.5002            -0.00185            -0.02013
 28.5628            -0.00209            -0.01689
 28.6255            -0.00234            -0.01293
 28.6881            -0.00261            -0.00902
 28.7508            -0.00291            -0.00569
 28.8134            -0.00327            -0.00321
 28.8760            -0.00366            -0.00158
 28.9387            -0.00409            -0.00060
 29.0013            -0.00450            -0.00003
 29.0640            -0.00486             0.00032
 29.1266            -0.00510             0.00054
 29.1892            -0.00517             0.00063
 29.2519            -0.00505             0.00058
 29.3145            -0.00474             0.00035
 29.3771            -0.00427            -0.00005
 29.4398            -0.00370            -0.00062
 29.5024            -0.00308            -0.00132
 29.5651            -0.00246            -0.00207
 29.6277            -0.00188            -0.00274
 29.6903            -0.00136            -0.00318
 29.7530            -0.00092            -0.00326
 29.8156            -0.00055            -0.00293
 29.8782            -0.00025            -0.00229
 29.9409            -0.00000            -0.00152
 30.0035             0.00021            -0.00087
 30.0662             0.00040            -0.00054
 30.1288             0.00058            -0.00065
 30.1914             0.00076            -0.00114
 30.2541             0.00094            -0.00185
 30.3167             0.00113            -0.00248
 30.3793             0.00133            -0.00273
 30.4420             0.00153            -0.00238
 30.5046             0.00174            -0.00134
 30.5673             0.00197             0.00029
 30.6299             0.00223             0.00223
 30.6925             0.00253             0.00411
 30.7552             0.00287             0.00559
 30.8178             0.00323             0.00647
 30.8804             0.00356             0.00676
 30.9431             0.00381             0.00664
 31.0057             0.00394             0.00638
 31.0684             0.00392             0.00621
 31.1310             0.00373             0.00624
 31.1936             0.00340             0.00644
 31.2563             0.00297             0.00669
 31.3189             0.00251             0.00684
 31.3815             0.00207             0.00681
 31.4442             0.00169             0.00661
 31.5068             0.00138             0.00638
 31.5695             0.00115             0.00631
 31.6321             0.00097             0.00659
 31.6947             0.00081             0.00723
 31.7574             0.00067             0.00800
 31.8200             0.00052             0.00844
 31.8827             0.00036             0.00797
 31.9453             0.00020             0.00614
 32.0079             0.00004             0.00280
 32.0706            -0.00011            -0.00174
 32.1332            -0.00025            -0.00682
 32.1958            -0.00040            -0.01156
 32.2585            -0.00057            -0.01513
 32.3211            -0.00075            -0.01700
 32.3838            -0.00094            -0.01701
 32.4464            -0.00116            -0.01535
 32.5090            -0.00139            -0.01252
